#k_size_bessel = 25000
#tau_size_selection = 50
#Gaussian z1=1, z2= 1.5 (1e-06)
#rsd-rsd
#tau1      tau2         l(l+1)Dl(tau1,tau2)
#l = 64
10873.1     11238.9      9.62925e-06
10873.1     11330.3      8.21192e-06
10873.1     11421.8      4.05713e-06
10873.1     11513.2      -9.52231e-06
10873.1     11604.7      4.34277e-08
10873.1     11696.1      -2.3866e-06
10873.1     11787.6      -1.57785e-07
10873.1     11879      9.19584e-07
10873.1     11970.5      -4.14552e-06
10873.1     12061.9      6.42972e-07
10873.1     12153.4      -1.93128e-06
10873.1     12244.8      4.762e-07
10873.1     12336.2      -4.38136e-07
10873.1     12427.7      1.49558e-06
10873.1     12519.1      -2.1197e-09
10873.1     12610.6      8.42488e-07
10873.1     12702      9.70545e-08
10873.1     12793.5      -1.00508e-06
10873.1     12884.9      -8.72689e-08
10873.1     12976.4      3.34473e-07
10873.1     13067.8      -5.0861e-07
10873.1     13159.3      1.54866e-07
10873.1     13250.7      9.60783e-08
10873.1     13342.1      -4.34278e-07
10873.1     13433.6      -2.61462e-08
10873.1     13525      1.33478e-07
10873.1     13616.5      3.06196e-08
10873.1     13707.9      7.1991e-08
10873.1     13799.4      -7.35742e-10
10873.1     13890.8      1.49593e-08
10873.1     13982.3      1.86198e-10
10873.1     14073.7      2.47335e-09
10873.1     14165.2      0.142653
10964.6     9684.33      -3.81579e-07
10964.6     9775.78      -6.70942e-07
10964.6     9867.22      1.8038e-06
10964.6     9958.67      -5.08252e-07
10964.6     10050.1      -1.75978e-06
10964.6     10141.6      2.837e-06
10964.6     10233      -2.23546e-06
10964.6     10324.5      -3.43523e-06
10964.6     10415.9      4.44639e-06
10964.6     10507.3      7.95368e-06
10964.6     10598.8      1.70664e-05
10964.6     10690.2      5.02262e-05
10964.6     10781.7      -5.64344e-05
10964.6     10873.1      -0.00129123
10964.6     10964.6      0.0152971
10964.6     11056      -0.00132158
10964.6     11147.5      -2.35528e-05
10964.6     11238.9      4.8048e-05
10964.6     11330.3      7.16246e-06
10964.6     11421.8      8.37434e-06
10964.6     11513.2      3.24369e-06
10964.6     11604.7      -1.03733e-05
10964.6     11696.1      8.51039e-07
10964.6     11787.6      -3.64156e-06
10964.6     11879      1.01686e-06
10964.6     11970.5      2.57664e-07
10964.6     12061.9      -3.57632e-06
10964.6     12153.4      9.64978e-07
10964.6     12244.8      -2.12379e-06
10964.6     12336.2      1.08798e-06
10964.6     12427.7      -5.42239e-08
10964.6     12519.1      2.2357e-06
10964.6     12610.6      1.39678e-07
10964.6     12702      4.26722e-07
10964.6     12793.5      1.91733e-07
10964.6     12884.9      -3.09707e-07
10964.6     12976.4      -2.00723e-07
10964.6     13067.8      4.38109e-07
10964.6     13159.3      3.00468e-07
10964.6     13250.7      2.26489e-07
10964.6     13342.1      8.90485e-09
10964.6     13433.6      1.18104e-07
10964.6     13525      -1.11452e-08
10964.6     13616.5      8.57862e-09
